ID;RESOURCE;PROPERTY;VOICEOVER;KEY;BR;CZ;RU;AR;TR;CN;PL;IT;FR;DE;ZH;ESMX;EN;KR;ES;JP;HU
2116737748;"CStoryScene ""dlc\dlcsted\data\scenes\sted_06b_rita_oxenfurt.w2scene""";Line text;MGLA_STED_2116737748;;Seu conteúdo só será revelado ao entrar em contato com uma chama sagrada e maligna.;Jeho obsah bude odhalen pouze při kontaktu s posvátným a zlým plamenem.;Его содержимое раскроется только при контакте со священным и злым пламенем.;لن يتم الكشف عن محتوياته إلا عند ملامسة لهب مقدس وشرير.;İçeriği yalnızca kutsal ve kötü bir alevle temasa geçtiğinde açığa çıkacaktır.;它的内容只有在接触到神圣而邪恶的火焰时才会显露出来。;Jej zawartość zostanie ujawniona dopiero po zetknięciu się ze świętym i złym płomieniem.;Il suo contenuto verrà rivelato solo al contatto con una fiamma sacra e malvagia.;Son contenu ne sera révélé qu’au contact d’une flamme sacrée et maléfique.;Sein Inhalt wird erst bei Kontakt mit einer heiligen und bösen Flamme enthüllt.;它的内容只有在接触到神圣而邪恶的火焰时才会显露出来。;Su contenido sólo será revelado al entrar en contacto con una llama sagrada y maligna.;Its contents will only be revealed by contact with a sacred, evil flame.;그 내용물은 신성하고 사악한 불꽃과 접촉해야만 드러날 것입니다.;Su contenido sólo será revelado al entrar en contacto con una llama sagrada y maligna.;その内容は神聖かつ邪悪な炎に触れた場合にのみ明らかになります。;Tartalma csak akkor derül ki, ha egy szent és gonosz lánggal érintkezik.
2116737750;"CStoryScene ""dlc\dlcsted\data\scenes\sted_06b_rita_oxenfurt.w2scene""";Choice line;;;E onde vamos encontrar isso?;A kde to najdeme?;И где мы это найдем?;وأين سنجد هذا؟;Peki bunu nerede bulacağız?;我们去哪里找到这个？;A gdzie to znajdziemy?;E dove lo troveremo?;Et où allons-nous trouver ça ?;Und wo werden wir das finden?;我们去哪里找到这个？;¿Y dónde vamos a encontrar esto?;And where are we going to find it?;그러면 우리는 이것을 어디서 찾을 수 있을까요?;¿Y dónde vamos a encontrar esto?;そして、これはどこで見つけられるのでしょうか？;És hol fogjuk ezt megtalálni?
2116737752;"CStoryScene ""dlc\dlcsted\data\scenes\sted_06b_rita_oxenfurt.w2scene""";Choice line;;;Tenho minha própria ideia de onde encontrá-lo, mas não gosto.;Mám vlastní představu, kde to najít, ale nelíbí se mi to.;У меня есть своя идея, где ее найти, но она мне не нравится.;لدي فكرتي الخاصة عن مكان العثور عليها، لكني لا أحبها.;Onu nerede bulacağıma dair kendi fikrim var ama hoşuma gitmiyor.;我对在哪里找到它有自己的想法，但我不喜欢它。;Mam własny pomysł, gdzie go znaleźć, ale nie podoba mi się to.;Ho una mia idea di dove trovarlo, ma non mi piace.;J'ai ma petite idée de l'endroit où trouver ça, mais elle ne m'enchante pas.;Ich habe meine eigene Vorstellung davon, wo ich es finden kann, aber es gefällt mir nicht.;我对在哪里找到它有自己的想法，但我不喜欢它。;Tengo mi propia idea de dónde encontrarlo, pero no me gusta.;I have my own idea of where to find it, but I don't like it.;어디서 찾을 수 있는지에 대한 나만의 아이디어가 있지만 마음에 들지 않습니다.;Tengo mi propia idea de dónde encontrarlo, pero no me gusta.;どこでそれを見つけるかについては私なりの考えがありますが、それは好きではありません。;Megvan a saját ötletem, hogy hol találom, de nem tetszik.
2116737754;"CStoryScene ""dlc\dlcsted\data\scenes\sted_06b_rita_oxenfurt.w2scene""";Line text;MGLA_STED_2116737754;;A chama do Templo do Fogo Eterno.;Plamen chrámu věčného ohně.;Пламя Храма Вечного Огня.;شعلة معبد النار الأبدية.;Ebedi Ateş Tapınağı'nın alevi.;永火神殿的火焰。;Płomień Świątyni Wiecznego Ognia.;La fiamma del Tempio del Fuoco Eterno.;La flamme du Temple du Feu Éternel.;Die Flamme des Tempels des ewigen Feuers.;永火神殿的火焰。;La llama del Templo del Fuego Eterno.;The flame of the Temple of Eternal Fire.;영원한 불의 사원의 불꽃.;La llama del Templo del Fuego Eterno.;永遠の火の神殿の炎。;Az Örök Tűz Templomának lángja.
2116737756;"CStoryScene ""dlc\dlcsted\data\scenes\sted_06b_rita_oxenfurt.w2scene""";Line text;INQ3_STED_2116737756;;Uma bruxa! Pegue ela!;Čarodějnice! Získejte ji!;Ведьма! Возьми ее!;ساحرة! احصل عليها!;Bir cadı! Yakala onu!;一个女巫！抓住她！;Czarownica! Zdobądź ją!;Una strega! Prendila!;Une sorcière ! Attrapez-la !;Eine Hexe! Hol sie dir!;一个女巫！抓住她！;¡Una bruja! ¡Consíguela!;A sorceress! Catch her!;마녀! 그녀를 잡아!;¡Una bruja! ¡Consíguela!;魔女だ！彼女を捕まえてください！;Egy boszorkány! Kapd el őt!
2116737758;"CStoryScene ""dlc\dlcsted\data\scenes\sted_06b_rita_oxenfurt.w2scene""";Line text;GRLT_STED_2116737758;;Salve-se! Eu vou mantê-los.;Zachraň se! Nechám si je.;Спасайся! Я сохраню их.;تنقذ نفسك! سأحتفظ بهم.;Kendini kurtar! Onları saklayacağım.;救救你自己吧！我会保留它们。;Ratuj siebie! Zatrzymam je.;Salva te stesso! Li terrò.;Sauve toi ! Je vais les retenir.;Rette dich! Ich werde sie behalten.;救救你自己吧！我会保留它们。;¡Sálvate a ti mismo! Me los quedaré.;Run away! I'll hold them off.;자신을 구하세요! 내가 보관할게.;¡Sálvate a ti mismo! Me los quedaré.;自分を救ってください！保管しておきます。;Mentsd meg magad! megtartom őket.
2116737762;"CStoryScene ""dlc\dlcsted\data\scenes\sted_06b_rita_oxenfurt.w2scene""";Line text;GRLT_STED_2116737762;;E onde vamos encontrar isso?;A kde to najdeme?;И где мы это найдем?;وأين سنجد هذا؟;Peki bunu nerede bulacağız?;我们去哪里找到这个？;A gdzie to znajdziemy?;E dove lo troveremo?;Et où allons-nous trouver ça ?;Und wo werden wir das finden?;我们去哪里找到这个？;¿Y dónde vamos a encontrar esto?;And where are we going to find it?;그러면 우리는 이것을 어디서 찾을 수 있을까요?;¿Y dónde vamos a encontrar esto?;そして、これはどこで見つけられるのでしょうか？;És hol fogjuk ezt megtalálni?
2116737764;"CStoryScene ""dlc\dlcsted\data\scenes\sted_06b_rita_oxenfurt.w2scene""";Line text;GRLT_STED_2116737764;;Tenho minha própria ideia de onde encontrá-lo, mas não gosto.;Mám vlastní představu, kde to najít, ale nelíbí se mi to.;У меня есть своя идея, где ее найти, но она мне не нравится.;لدي فكرتي الخاصة عن مكان العثور عليها، لكني لا أحبها.;Onu nerede bulacağıma dair kendi fikrim var ama hoşuma gitmiyor.;我对在哪里找到它有自己的想法，但我不喜欢它。;Mam własny pomysł, gdzie go znaleźć, ale nie podoba mi się to.;Ho una mia idea di dove trovarlo, ma non mi piace.;J'ai ma petite idée de l'endroit où trouver ça, mais elle ne m'enchante pas.;Ich habe meine eigene Vorstellung davon, wo ich es finden kann, aber es gefällt mir nicht.;我对在哪里找到它有自己的想法，但我不喜欢它。;Tengo mi propia idea de dónde encontrarlo, pero no me gusta.;I have my own idea of where to find it, but I don't like it.;어디서 찾을 수 있는지에 대한 나만의 아이디어가 있지만 마음에 들지 않습니다.;Tengo mi propia idea de dónde encontrarlo, pero no me gusta.;どこでそれを見つけるかについては私なりの考えがありますが、それは好きではありません。;Megvan a saját ötletem, hogy hol találom, de nem tetszik.
2116737766;"CStoryScene ""dlc\dlcsted\data\scenes\sted_08_final_essi.w2scene""";Line text;GRLT_STED_2116737766;;Sim? É você?;Ano? jsi to ty?;Да? Это ты?;نعم؟ هل هذا أنت؟;Evet? Sen olduğunu?;是的？那是你吗？;Tak? Czy to ty?;SÌ? Sei tu?;Essi ? Est-ce que c'est toi ?;Ja? Sind Sie das?;是的？那是你吗？;¿Sí? ¿Eres tu?;Essi? Is that you?;예? 당신인가요?;¿Sí? ¿Eres tu?;はい？あなたなの？;Igen? te vagy az?
2116737768;"CStoryScene ""dlc\dlcsted\data\scenes\sted_08_final_essi.w2scene""";Line text;VIM1_STED_2116737768;;Sim, Geralt.;Ano, Geralte.;Да, Геральт.;نعم يا جيرالت.;Evet, Geralt.;是的，杰洛特。;Tak, Geralcie.;Sì, Geralt.;Oui, Geralt.;Ja, Geralt.;是的，杰洛特。;Sí, Geralt.;Yes, Geralt.;응, 게롤트.;Sí, Geralt.;そう、ゲラルト。;Igen, Geralt.
2116737770;"CStoryScene ""dlc\dlcsted\data\scenes\sted_08_final_essi.w2scene""";Line text;VIM1_STED_2116737770;;Graças à magia que você liberou.;Díky magii, kterou jsi vypustil.;Благодаря магии, которую ты выпустил.;بفضل السحر الذي أطلقته.;Serbest bıraktığın büyü sayesinde.;感谢你释放的魔法。;Dzięki magii, którą uwolniłeś.;Grazie alla magia che hai liberato.;Grâce à la magie que tu as libérée.;Dank der Magie, die du freigesetzt hast.;感谢你释放的魔法。;Gracias a la magia que liberaste.;Thanks to the magic you've unleashed.;당신이 풀어준 마법 덕분에요.;Gracias a la magia que liberaste.;あなたが放った魔法のおかげで。;Köszönet a varázslatnak, amit felszabadított.
2116737772;"CStoryScene ""dlc\dlcsted\data\scenes\sted_08_final_essi.w2scene""";Line text;VIM1_STED_2116737772;;Mas sinto que já está desaparecendo.;Ale mám pocit, že už mizí.;Но я чувствую, что оно уже угасает.;لكنني أشعر أنها تتلاشى بالفعل.;Ama şimdiden solmaya başladığını hissediyorum.;但我感觉它已经消失了。;Ale mam wrażenie, że to już zanika.;Ma sento che sta già svanendo.;Mais je sens qu'elle s'estompe déjà.;Aber ich habe das Gefühl, dass es bereits verblasst.;但我感觉它已经消失了。;Pero siento que ya se está desvaneciendo.;But I can feel it fading already.;하지만 이미 희미해지고 있는 것 같아요.;Pero siento que ya se está desvaneciendo.;でも、もう薄れてるような気がします。;De úgy érzem, ez már halványul.
2116737776;"CStoryScene ""dlc\dlcsted\data\scenes\sted_08_final_essi.w2scene""";Line text;VIM1_STED_2116737776;;Não diga isso. Você não pode se culpar.;To neříkej. Nemůžeš se obviňovat.;Не говори так. Вы не можете винить себя.;لا تقل ذلك. لا يمكنك إلقاء اللوم على نفسك.;Bunu söyleme. Kendini suçlayamazsın.;别这么说。你不能责怪自己。;Nie mów tak. Nie możesz siebie obwiniać.;Non dirlo. Non puoi incolpare te stesso.;Ne dis pas ça. Tu ne peux pas t'en vouloir.;Sag das nicht. Du kannst dir keine Vorwürfe machen.;别这么说。你不能责怪自己。;No digas eso. No puedes culparte a ti mismo.;Don't say that. You can't blame yourself.;그런 말은 하지 마세요. 당신은 자신을 비난할 수 없습니다.;No digas eso. No puedes culparte a ti mismo.;そんなこと言わないでよ。自分を責めることはできません。;Ne mondd ezt. Nem hibáztathatod magad.
2116737780;"CStoryScene ""dlc\dlcsted\data\scenes\sted_08_final_essi.w2scene""";Line text;VIM1_STED_2116737780;;Você não pode controlar seus sentimentos.;Nemůžete ovládat své pocity.;Вы не можете контролировать свои чувства.;لا يمكنك التحكم في مشاعرك.;Duygularını kontrol edemezsin.;你无法控制自己的感受。;Nie możesz kontrolować swoich uczuć.;Non puoi controllare i tuoi sentimenti.;On ne peut pas commander ses sentiments.;Du kannst deine Gefühle nicht kontrollieren.;你无法控制自己的感受。;No puedes controlar tus sentimientos.;Feelings can't be ordered.;당신은 자신의 감정을 통제할 수 없습니다.;No puedes controlar tus sentimientos.;自分の感情をコントロールすることはできません。;Nem tudod irányítani az érzéseidet.
2116737786;"CStoryScene ""dlc\dlcsted\data\scenes\sted_08_final_essi.w2scene""";Line text;VIM1_STED_2116737786;;A vida é muito curta para ter arrependimentos.;Život je příliš krátký na to, abychom litovali.;Жизнь слишком коротка, чтобы сожалеть.;الحياة أقصر من أن تندم عليها.;Hayat pişmanlık duymak için çok kısa.;人生太短，不能有遗憾。;Życie jest za krótkie, żeby żałować.;La vita è troppo breve per avere rimpianti.;La vie est trop courte pour avoir des regrets.;Das Leben ist zu kurz, um es zu bereuen.;人生太短，不能有遗憾。;La vida es demasiado corta para arrepentirse.;Life is too short to have regrets.;인생은 후회하기에는 너무 짧습니다.;La vida es demasiado corta para arrepentirse.;後悔するには人生は短すぎます。;Az élet túl rövid ahhoz, hogy megbánja.
2116737788;"CStoryScene ""dlc\dlcsted\data\scenes\sted_08_final_essi.w2scene""";Line text;VIM1_STED_2116737788;;Mantenha-me em seu coração e aproveite sua vida.;Nech si mě ve svém srdci a užívej si života.;Держи меня в своем сердце и наслаждайся жизнью.;إحتفظ بي في قلبك واستمتع بحياتك.;Beni kalbinde tut ve hayatının tadını çıkar.;把我放在心里，享受你的生活。;Zachowaj mnie w swoim sercu i ciesz się życiem.;Tienimi nel tuo cuore e goditi la vita.;Gardez-moi dans ton cœur et profite de ta vie.;Behalte mich in deinem Herzen und genieße dein Leben.;把我放在心里，享受你的生活。;Mantenme en tu corazón y disfruta de tu vida.;Keep me in your heart, and enjoy your life.;나를 당신의 마음 속에 간직하고 당신의 삶을 즐기십시오.;Mantenme en tu corazón y disfruta de tu vida.;私を心の中に留めて、人生を楽しんでください。;Tarts a szívedben és élvezd az életed.
2116737790;"CStoryScene ""dlc\dlcsted\data\scenes\sted_08_final_essi.w2scene""";Line text;VIM1_STED_2116737790;;Onde estou, guardo com carinho as lembranças dos momentos passados ​​ao seu lado.;Tam, kde jsem, si vážím vzpomínek na chvíle strávené po tvém boku.;Там, где я нахожусь, я храню воспоминания о моментах, проведенных рядом с тобой.;أينما كنت، أعتز بذكريات اللحظات التي قضيتها بجانبك.;Nerede olursam olayım, senin yanında geçirdiğim anların anılarına değer veriyorum.;无论我身在何处，我都珍惜与你共度的时光。;Tam gdzie jestem, pielęgnuję wspomnienia chwil spędzonych u Twojego boku.;Dove sono, conservo i ricordi dei momenti trascorsi al tuo fianco.;Là où je suis, je chéris les souvenirs des moments passés à tes côtés.;Wo ich bin, schätze ich die Erinnerungen an die Momente, die ich an Ihrer Seite verbracht habe.;无论我身在何处，我都珍惜与你共度的时光。;Donde estoy, atesoro los recuerdos de los momentos pasados ​​a tu lado.;Where I am, I cherish the memories of the times I spent by your side.;내가 있는 곳에서는 당신과 함께했던 순간들의 추억을 소중히 간직하고 있습니다.;Donde estoy, atesoro los recuerdos de los momentos pasados ​​a tu lado.;私はここで、あなたの側で過ごした瞬間の思い出を大切にしています。;Ahol vagyok, őrzöm az Ön mellett eltöltött pillanatok emlékeit.
2116737792;"CStoryScene ""dlc\dlcsted\data\scenes\sted_08_final_essi.w2scene""";Line text;VIM1_STED_2116737792;;Eu sei a quem seu coração pertence agora.;Vím, komu teď patří tvé srdce.;Я знаю, кому сейчас принадлежит твое сердце.;أعرف لمن ينتمي قلبك الآن.;Artık kalbinin kime ait olduğunu biliyorum.;我知道你的心现在属于谁了。;Wiem do kogo należy teraz Twoje serce.;So a chi appartiene il tuo cuore adesso.;Je sais à qui appartient ton cœur à présent.;Ich weiß, wem dein Herz jetzt gehört.;我知道你的心现在属于谁了。;Ahora sé a quién pertenece tu corazón.;I know who your heart belongs to now.;나는 이제 당신의 마음이 누구의 것인지 압니다.;Ahora sé a quién pertenece tu corazón.;あなたの心が誰のものか、私はもう知っています。;Tudom, kié a szíved most.
2116737794;"CStoryScene ""dlc\dlcsted\data\scenes\sted_08_final_essi.w2scene""";Line text;VIM1_STED_2116737794;;Aproveite a vida e seja feliz com quem você ama.;Užívejte si života a buďte šťastní s tím, koho milujete.;Наслаждайтесь жизнью и будьте счастливы с тем, кого любите.;استمتع بالحياة، وكن سعيدًا مع من تحب.;Hayatın tadını çıkarın ve sevdiğiniz kişiyle mutlu olun.;享受生活，和你爱的人在一起幸福。;Ciesz się życiem i bądź szczęśliwy z ukochaną osobą.;Goditi la vita e sii felice con la persona che ami.;Profite de la vie, et sois heureux avec celle que tu aimes.;Genieße das Leben und sei glücklich mit dem, den du liebst.;享受生活，和你爱的人在一起幸福。;Disfruta la vida y sé feliz con la persona que amas.;Enjoy your life, and be happy with the one you love.;인생을 즐기고, 사랑하는 사람과 함께 행복하세요.;Disfruta la vida y sé feliz con la persona que amas.;人生を楽しんで、愛する人と幸せになってください。;Élvezd az életet, és légy boldog azzal, akit szeretsz.
2116737796;"CStoryScene ""dlc\dlcsted\data\scenes\sted_08_final_essi.w2scene""";Line text;VIM1_STED_2116737796;;Adeus Geralt e obrigado por tudo.;Sbohem Geralte a děkuji za všechno.;Прощай, Геральт, и спасибо тебе за все.;وداعاً جيرالت وشكراً لك على كل شيء.;Elveda Geralt ve her şey için teşekkür ederim.;再见杰洛特，感谢你所做的一切。;Żegnam Geralta i dziękuję za wszystko.;Addio Geralt e grazie di tutto.;Adieu Geralt et merci pour tout.;Lebe wohl Geralt und danke für alles.;再见杰洛特，感谢你所做的一切。;Adiós Geralt y gracias por todo.;Farewell Geralt, and thank you for everything.;게롤트에게 작별 인사를 전하며 모든 것에 감사드립니다.;Adiós Geralt y gracias por todo.;さらばゲラルト、そして今までありがとう。;Viszlát Geralt és köszönök mindent.
2116737800;"CStoryScene ""dlc\dlcsted\data\scenes\sted_08_final_essi.w2scene""";Choice line;;;O que aconteceu com você é minha culpa.;Co se ti stalo, je moje chyba.;В том, что с тобой случилось, моя вина.;ما حدث لك هو خطأي.;Sana olanlar benim hatam.;你的遭遇是我的错。;To, co ci się przydarzyło, to moja wina.;Quello che ti è successo è colpa mia.;Ce qu'il t'est arrivé est de ma faute.;Was dir passiert ist, ist meine Schuld.;你的遭遇是我的错。;Lo que te pasó es mi culpa.;What happened to you was my fault.;당신에게 일어난 일은 내 잘못이에요.;Lo que te pasó es mi culpa.;あなたに起こったことは私のせいです。;Ami veled történt, az az én hibám.
2116737802;"CStoryScene ""dlc\dlcsted\data\scenes\sted_08_final_essi.w2scene""";Choice line;;;Me desculpe por não ter compartilhado os mesmos sentimentos que você.;Je mi líto, že jsem nesdílel stejné pocity jako vy.;Мне жаль, что я не разделял тех же чувств, что и ты.;أنا آسف لأنني لم أشاركك نفس المشاعر.;Seninle aynı duyguları paylaşmadığım için üzgünüm.;很抱歉我没有和你有同样的感受。;Przepraszam, że nie podzielałem tych samych uczuć co Ty.;Mi dispiace di non aver condiviso i tuoi stessi sentimenti.;Je suis désolé de ne pas avoir partagé les mêmes sentiments que toi.;Es tut mir leid, dass ich nicht die gleichen Gefühle wie Sie hatte.;很抱歉我没有和你有同样的感受。;Lamento no haber compartido los mismos sentimientos que tú.;I'm sorry I didn't share the same feelings as you.;당신과 같은 감정을 공유하지 못해서 미안해요.;Lamento no haber compartido los mismos sentimientos que tú.;あなたと同じ気持ちを共有できなくてごめんなさい。;Sajnálom, hogy nem éreztem ugyanazokat az érzéseket, mint te.
2116737804;"CStoryScene ""dlc\dlcsted\data\scenes\sted_08_final_essi.w2scene""";Line text;GRLT_STED_2116737804;;O que aconteceu com você é minha culpa.;Co se ti stalo, je moje chyba.;В том, что с тобой случилось, моя вина.;ما حدث لك هو خطأي.;Sana olanlar benim hatam.;你的遭遇是我的错。;To, co ci się przydarzyło, to moja wina.;Quello che ti è successo è colpa mia.;Ce qu'il t'est arrivé est de ma faute.;Was dir passiert ist, ist meine Schuld.;你的遭遇是我的错。;Lo que te pasó es mi culpa.;What happened to you was my fault.;당신에게 일어난 일은 내 잘못이에요.;Lo que te pasó es mi culpa.;あなたに起こったことは私のせいです。;Ami veled történt, az az én hibám.
